aX,aY,aZ
0.222,0.328,1.525
0.213,0.32,1.539
0.211,0.312,1.56
0.208,0.3,1.57
0.202,0.294,1.578
0.197,0.285,1.591
0.186,0.282,1.591
0.18,0.264,1.595
0.167,0.256,1.599
0.163,0.241,1.607
0.15,0.232,1.608
0.144,0.223,1.613
0.132,0.219,1.618
0.131,0.213,1.622
0.127,0.208,1.621
0.124,0.201,1.618
0.114,0.2,1.611
0.111,0.197,1.591
0.101,0.194,1.577
0.096,0.193,1.55
0.078,0.19,1.529
0.075,0.198,1.495
0.087,0.199,1.483
0.08,0.196,1.439
0.071,0.2,1.414
0.069,0.207,1.362
0.069,0.211,1.337
0.064,0.215,1.278
0.063,0.219,1.247
0.063,0.229,1.19
0.061,0.235,1.16
0.06,0.242,1.105
0.058,0.244,1.078
0.05,0.241,1.029
0.036,0.235,1.004
0.029,0.231,0.958
0.013,0.234,0.936
0.007,0.251,0.896
-0.004,0.262,0.879
-0.01,0.28,0.852
-0.019,0.283,0.835
-0.02,0.295,0.802
-0.027,0.3,0.776
-0.03,0.308,0.728
-0.039,0.314,0.707
-0.042,0.315,0.661
-0.045,0.319,0.621
-0.045,0.327,0.595
-0.044,0.33,0.547
-0.04,0.342,0.522
-0.035,0.346,0.455
-0.023,0.366,0.422
-0.02,0.388,0.353
-0.009,0.4,0.319
-0.003,0.422,0.253
0.009,0.434,0.225
0.014,0.447,0.165
0.02,0.455,0.132
0.023,0.47,0.08
0.016,0.48,0.048
0.011,0.481,0.004
